OTU,active
Otu01471,blips
Otu01474,blips
Otu01475,blips
Otu01477,blips
Otu01479,blips
Otu01480,blips
Otu01483,blips
Otu01484,blips
Otu01486,blips
Otu01487,blips
Otu01488,blips
Otu01489,blips
Otu01491,blips
Otu01493,blips
Otu01496,blips
Otu01500,blips
Otu01501,blips
Otu01502,blips
Otu01504,blips
Otu01505,blips
Otu01506,blips
Otu01507,blips
Otu01511,blips
Otu01512,blips
Otu01514,blips
Otu01515,blips
Otu01516,blips
Otu01517,blips
Otu01519,blips
Otu01522,blips
Otu01525,blips
Otu01526,blips
Otu01528,blips
Otu01529,blips
Otu01531,blips
Otu01532,blips
Otu01536,blips
Otu01537,blips
Otu01538,blips
Otu01539,blips
Otu01540,blips
Otu01541,blips
Otu01543,blips
Otu01544,blips
Otu01545,blips
Otu01547,blips
Otu01548,blips
Otu01550,blips
Otu01555,blips
Otu01556,blips
Otu01562,blips
Otu01563,blips
Otu01564,blips
Otu01567,blips
Otu01568,blips
Otu01569,blips
Otu01570,blips
Otu01571,blips
Otu01574,blips
Otu01576,blips
Otu01577,blips
Otu01579,blips
Otu01582,blips
Otu01586,blips
Otu01587,blips
Otu01588,blips
Otu01589,blips
Otu01591,blips
Otu01594,blips
Otu01597,blips
Otu01600,blips
Otu01601,blips
Otu01602,blips
Otu01603,blips
Otu01605,blips
Otu01606,blips
Otu01608,blips
Otu01611,blips
Otu01612,blips
Otu01616,blips
Otu01617,blips
Otu01619,blips
Otu01621,blips
Otu01622,blips
Otu01623,blips
Otu01624,blips
Otu01626,blips
Otu01628,blips
Otu01629,blips
Otu01630,blips
Otu01632,blips
Otu01634,blips
Otu01636,blips
Otu01637,blips
Otu01638,blips
Otu01640,blips
Otu01642,blips
Otu01643,blips
Otu01644,blips
Otu01645,blips
Otu01646,blips
Otu01648,blips
Otu01649,blips
Otu01651,blips
Otu01653,blips
Otu01655,blips
Otu01656,blips
Otu01659,blips
Otu01660,blips
Otu01661,blips
Otu01662,blips
Otu01663,blips
Otu01664,blips
Otu01665,blips
Otu01666,blips
Otu01669,blips
Otu01670,blips
Otu01672,blips
Otu01674,blips
Otu01676,blips
Otu01677,blips
Otu01679,blips
Otu01682,blips
Otu01683,blips
Otu01684,blips
Otu01685,blips
Otu01688,blips
Otu01690,blips
Otu01692,blips
Otu01694,blips
Otu01696,blips
Otu01697,blips
Otu01698,blips
Otu01699,blips
Otu01700,blips
Otu01702,blips
Otu01704,blips
Otu01705,blips
Otu01707,blips
Otu01709,blips
Otu01710,blips
Otu01711,blips
Otu01713,blips
Otu01714,blips
Otu01716,blips
Otu01717,blips
Otu01719,blips
Otu01721,blips
Otu01729,blips
Otu01734,blips
Otu01735,blips
Otu01736,blips
Otu01738,blips
Otu01739,blips
Otu01741,blips
Otu01742,blips
Otu01743,blips
Otu01744,blips
Otu01745,blips
Otu01747,blips
Otu01748,blips
Otu01749,blips
Otu01751,blips
Otu01753,blips
Otu01754,blips
Otu01761,blips
Otu01764,blips
Otu01765,blips
Otu01768,blips
Otu01769,blips
Otu01770,blips
Otu01771,blips
Otu01772,blips
Otu01773,blips
Otu01775,blips
Otu01776,blips
Otu01777,blips
Otu01779,blips
Otu01782,blips
Otu01783,blips
Otu01784,blips
Otu01787,blips
Otu01789,blips
Otu01791,blips
Otu01793,blips
Otu01794,blips
Otu01795,blips
Otu01797,blips
Otu01798,blips
Otu01801,blips
Otu01803,blips
Otu01805,blips
Otu01806,blips
Otu01808,blips
Otu01809,blips
Otu01811,blips
Otu01812,blips
Otu01815,blips
Otu01816,blips
Otu01817,blips
Otu01820,blips
Otu01823,blips
Otu01824,blips
Otu01825,blips
Otu01829,blips
Otu01831,blips
Otu01834,blips
Otu01835,blips
Otu01838,blips
Otu01839,blips
Otu01841,blips
Otu01842,blips
Otu01843,blips
Otu01844,blips
Otu01845,blips
Otu01846,blips
Otu01848,blips
Otu01849,blips
Otu01850,blips
Otu01851,blips
Otu01852,blips
Otu01855,blips
Otu01856,blips
Otu01857,blips
Otu01859,blips
Otu01862,blips
Otu01865,blips
Otu01867,blips
Otu01869,blips
Otu01870,blips
Otu01871,blips
Otu01873,blips
Otu01874,blips
Otu01875,blips
Otu01876,blips
Otu01879,blips
Otu01880,blips
Otu01881,blips
Otu01882,blips
Otu01886,blips
Otu01888,blips
Otu01889,blips
Otu01891,blips
Otu01894,blips
Otu01895,blips
Otu01897,blips
Otu01898,blips
Otu01901,blips
Otu01904,blips
Otu01906,blips
Otu01909,blips
Otu01911,blips
Otu01912,blips
Otu01913,blips
Otu01914,blips
Otu01917,blips
Otu01920,blips
Otu01922,blips
Otu01924,blips
Otu01928,blips
Otu01929,blips
Otu01930,blips
Otu01932,blips
Otu01933,blips
Otu01940,blips
Otu01941,blips
Otu01945,blips
Otu01946,blips
Otu01947,blips
Otu01948,blips
Otu01949,blips
Otu01950,blips
Otu01951,blips
Otu01952,blips
Otu01953,blips
Otu01957,blips
Otu01958,blips
Otu01959,blips
Otu01963,blips
Otu01966,blips
Otu01967,blips
Otu01970,blips
Otu01971,blips
Otu01972,blips
Otu01973,blips
Otu01974,blips
Otu01975,blips
Otu01977,blips
Otu01978,blips
Otu01981,blips
Otu01983,blips
Otu01985,blips
Otu01987,blips
Otu01988,blips
Otu01991,blips
Otu01993,blips
Otu01996,blips
Otu01998,blips
Otu02000,blips
Otu02002,blips
Otu02005,blips
Otu02006,blips
Otu02009,blips
Otu02010,blips
Otu02011,blips
Otu02012,blips
Otu02013,blips
Otu02014,blips
Otu02018,blips
Otu02022,blips
Otu02024,blips
Otu02025,blips
Otu02026,blips
Otu02030,blips
Otu02031,blips
Otu02032,blips
Otu02033,blips
Otu02035,blips
Otu02037,blips
Otu02040,blips
Otu02042,blips
Otu02044,blips
Otu02047,blips
Otu02048,blips
Otu02050,blips
Otu02052,blips
Otu02053,blips
Otu02054,blips
Otu02055,blips
Otu02056,blips
Otu02057,blips
Otu02059,blips
Otu02060,blips
Otu02061,blips
Otu02063,blips
Otu02064,blips
Otu02067,blips
Otu02069,blips
Otu02070,blips
Otu02071,blips
Otu02075,blips
Otu02076,blips
Otu02077,blips
Otu02079,blips
Otu02080,blips
Otu02081,blips
Otu02083,blips
Otu02084,blips
Otu02086,blips
Otu02088,blips
Otu02089,blips
Otu02092,blips
Otu02093,blips
Otu02096,blips
Otu02097,blips
Otu02098,blips
Otu02099,blips
Otu02100,blips
Otu02102,blips
Otu02103,blips
Otu02104,blips
Otu02105,blips
Otu02106,blips
Otu02107,blips
Otu02108,blips
Otu02111,blips
Otu02112,blips
Otu02113,blips
Otu02115,blips
Otu02117,blips
Otu02119,blips
Otu02121,blips
Otu02122,blips
Otu02125,blips
Otu02126,blips
Otu02128,blips
Otu02130,blips
Otu02133,blips
Otu02134,blips
Otu02135,blips
Otu02137,blips
Otu02138,blips
Otu02140,blips
Otu02141,blips
Otu02142,blips
Otu02143,blips
Otu02144,blips
Otu02145,blips
Otu02146,blips
Otu02147,blips
Otu02148,blips
Otu02150,blips
Otu02152,blips
Otu02153,blips
Otu02155,blips
Otu02156,blips
Otu02157,blips
Otu02159,blips
Otu02160,blips
Otu02163,blips
Otu02164,blips
Otu02165,blips
Otu02166,blips
Otu02168,blips
Otu02169,blips
Otu02170,blips
Otu02172,blips
Otu02174,blips
Otu02175,blips
Otu02176,blips
Otu02178,blips
Otu02180,blips
Otu02182,blips
Otu02183,blips
Otu02186,blips
Otu02187,blips
Otu02188,blips
Otu02190,blips
Otu02193,blips
Otu02196,blips
Otu02198,blips
Otu02199,blips
Otu02200,blips
Otu02201,blips
Otu02204,blips
Otu02205,blips
Otu02206,blips
Otu02208,blips
Otu02210,blips
Otu02211,blips
Otu02212,blips
Otu02215,blips
Otu02216,blips
Otu02217,blips
Otu02220,blips
Otu02225,blips
Otu02227,blips
Otu02230,blips
Otu02231,blips
Otu02232,blips
Otu02234,blips
Otu02235,blips
Otu02236,blips
Otu02237,blips
Otu02238,blips
Otu02242,blips
Otu02243,blips
Otu02245,blips
Otu02246,blips
Otu02247,blips
Otu02248,blips
Otu02249,blips
Otu02250,blips
Otu02255,blips
Otu02256,blips
Otu02261,blips
Otu02267,blips
Otu02272,blips
Otu02273,blips
Otu02274,blips
Otu02275,blips
Otu02278,blips
Otu02280,blips
Otu02281,blips
