OTU,active
Otu00581,seasonal
Otu00582,seasonal
Otu00585,seasonal
Otu00598,seasonal
Otu00601,seasonal
Otu00603,seasonal
Otu00608,seasonal
Otu00612,seasonal
Otu00615,seasonal
Otu00621,seasonal
Otu00639,seasonal
Otu00644,seasonal
Otu00652,seasonal
Otu00653,seasonal
Otu00656,seasonal
Otu00662,seasonal
Otu00663,seasonal
Otu00666,seasonal
Otu00670,seasonal
Otu00689,seasonal
Otu00692,seasonal
Otu00701,seasonal
Otu00706,seasonal
Otu00708,seasonal
Otu00709,seasonal
Otu00711,seasonal
Otu00712,seasonal
Otu00724,seasonal
Otu00737,seasonal
Otu00740,seasonal
Otu00747,seasonal
Otu00758,seasonal
Otu00766,seasonal
Otu00775,seasonal
Otu00778,seasonal
Otu00779,seasonal
Otu00784,seasonal
Otu00788,seasonal
Otu00789,seasonal
Otu00817,seasonal
Otu00826,seasonal
Otu00829,seasonal
Otu00836,seasonal
Otu00894,seasonal
Otu00900,seasonal
Otu00911,seasonal
Otu00928,seasonal
Otu00930,seasonal
Otu00942,seasonal
Otu00948,seasonal
Otu00956,seasonal
Otu00964,seasonal
Otu00974,seasonal
Otu00977,seasonal
Otu00982,seasonal
Otu00987,seasonal
Otu01013,seasonal
Otu01024,seasonal
Otu01033,seasonal
Otu01057,seasonal
Otu01063,seasonal
Otu01070,seasonal
Otu01072,seasonal
Otu01095,seasonal
Otu01142,seasonal
Otu01189,seasonal
Otu01191,seasonal
Otu01192,seasonal
Otu01263,seasonal
Otu01279,seasonal
Otu01313,seasonal
Otu01381,seasonal
