OTU,active
Otu01577,transient
Otu01579,transient
Otu01582,transient
Otu01585,transient
Otu01586,transient
Otu01587,transient
Otu01588,transient
Otu01589,transient
Otu01591,transient
Otu01594,transient
Otu01597,transient
Otu01600,transient
Otu01601,transient
Otu01602,transient
Otu01603,transient
Otu01605,transient
Otu01606,transient
Otu01608,transient
Otu01611,transient
Otu01612,transient
Otu01616,transient
Otu01617,transient
Otu01619,transient
Otu01621,transient
Otu01622,transient
Otu01623,transient
Otu01624,transient
Otu01626,transient
Otu01628,transient
Otu01629,transient
Otu01630,transient
Otu01632,transient
Otu01634,transient
Otu01635,transient
Otu01636,transient
Otu01637,transient
Otu01638,transient
Otu01640,transient
Otu01642,transient
Otu01643,transient
Otu01644,transient
Otu01645,transient
Otu01646,transient
Otu01648,transient
Otu01649,transient
Otu01651,transient
Otu01653,transient
Otu01655,transient
Otu01656,transient
Otu01659,transient
Otu01660,transient
Otu01661,transient
Otu01662,transient
Otu01663,transient
Otu01664,transient
Otu01665,transient
Otu01666,transient
Otu01669,transient
Otu01670,transient
Otu01672,transient
Otu01674,transient
Otu01676,transient
Otu01677,transient
Otu01679,transient
Otu01681,transient
Otu01682,transient
Otu01683,transient
Otu01684,transient
Otu01685,transient
Otu01688,transient
Otu01689,transient
Otu01690,transient
Otu01692,transient
Otu01693,transient
Otu01694,transient
Otu01696,transient
Otu01697,transient
Otu01698,transient
Otu01699,transient
Otu01700,transient
Otu01702,transient
Otu01704,transient
Otu01705,transient
Otu01707,transient
Otu01709,transient
Otu01710,transient
Otu01711,transient
Otu01713,transient
Otu01714,transient
Otu01715,transient
Otu01716,transient
Otu01717,transient
Otu01719,transient
Otu01721,transient
Otu01722,transient
Otu01729,transient
Otu01731,transient
Otu01734,transient
Otu01735,transient
Otu01736,transient
Otu01738,transient
Otu01739,transient
Otu01741,transient
Otu01742,transient
Otu01743,transient
Otu01744,transient
Otu01745,transient
Otu01746,transient
Otu01747,transient
Otu01748,transient
Otu01749,transient
Otu01751,transient
Otu01753,transient
Otu01754,transient
Otu01759,transient
Otu01761,transient
Otu01764,transient
Otu01765,transient
Otu01768,transient
Otu01769,transient
Otu01770,transient
Otu01771,transient
Otu01772,transient
Otu01773,transient
Otu01774,transient
Otu01775,transient
Otu01776,transient
Otu01777,transient
Otu01778,transient
Otu01779,transient
Otu01782,transient
Otu01783,transient
Otu01784,transient
Otu01787,transient
Otu01789,transient
Otu01791,transient
Otu01793,transient
Otu01794,transient
Otu01795,transient
Otu01796,transient
Otu01797,transient
Otu01798,transient
Otu01801,transient
Otu01802,transient
Otu01803,transient
Otu01805,transient
Otu01806,transient
Otu01808,transient
Otu01809,transient
Otu01811,transient
Otu01812,transient
Otu01815,transient
Otu01816,transient
Otu01817,transient
Otu01820,transient
Otu01823,transient
Otu01824,transient
Otu01825,transient
Otu01828,transient
Otu01829,transient
Otu01831,transient
Otu01832,transient
Otu01834,transient
Otu01835,transient
Otu01838,transient
Otu01839,transient
Otu01841,transient
Otu01842,transient
Otu01843,transient
Otu01844,transient
Otu01845,transient
Otu01846,transient
Otu01848,transient
Otu01849,transient
Otu01850,transient
Otu01851,transient
Otu01852,transient
Otu01855,transient
Otu01856,transient
Otu01857,transient
Otu01859,transient
Otu01862,transient
Otu01863,transient
Otu01865,transient
Otu01867,transient
Otu01869,transient
Otu01870,transient
Otu01871,transient
Otu01873,transient
Otu01874,transient
Otu01875,transient
Otu01876,transient
Otu01878,transient
Otu01879,transient
Otu01880,transient
Otu01881,transient
Otu01882,transient
Otu01886,transient
Otu01888,transient
Otu01889,transient
Otu01890,transient
Otu01891,transient
Otu01892,transient
Otu01894,transient
Otu01895,transient
Otu01897,transient
Otu01898,transient
Otu01901,transient
Otu01904,transient
Otu01906,transient
Otu01909,transient
Otu01910,transient
Otu01911,transient
Otu01912,transient
Otu01913,transient
Otu01914,transient
Otu01915,transient
Otu01917,transient
Otu01919,transient
Otu01920,transient
Otu01921,transient
Otu01922,transient
Otu01924,transient
Otu01925,transient
Otu01926,transient
Otu01928,transient
Otu01929,transient
Otu01930,transient
Otu01932,transient
Otu01933,transient
Otu01937,transient
Otu01938,transient
Otu01940,transient
Otu01941,transient
Otu01943,transient
Otu01945,transient
Otu01946,transient
Otu01947,transient
Otu01948,transient
Otu01949,transient
Otu01950,transient
Otu01951,transient
Otu01952,transient
Otu01953,transient
Otu01957,transient
Otu01958,transient
Otu01959,transient
Otu01960,transient
Otu01963,transient
Otu01966,transient
Otu01967,transient
Otu01970,transient
Otu01971,transient
Otu01972,transient
Otu01973,transient
Otu01974,transient
Otu01975,transient
Otu01976,transient
Otu01977,transient
Otu01978,transient
Otu01980,transient
Otu01981,transient
Otu01982,transient
Otu01983,transient
Otu01985,transient
Otu01987,transient
Otu01988,transient
Otu01991,transient
Otu01993,transient
Otu01996,transient
Otu01998,transient
Otu02000,transient
Otu02002,transient
Otu02005,transient
Otu02006,transient
Otu02009,transient
Otu02010,transient
Otu02011,transient
Otu02012,transient
Otu02013,transient
Otu02014,transient
Otu02018,transient
Otu02022,transient
Otu02024,transient
Otu02025,transient
Otu02026,transient
Otu02030,transient
Otu02031,transient
Otu02032,transient
Otu02033,transient
Otu02035,transient
Otu02037,transient
Otu02040,transient
Otu02042,transient
Otu02044,transient
Otu02047,transient
Otu02048,transient
Otu02050,transient
Otu02052,transient
Otu02053,transient
Otu02054,transient
Otu02055,transient
Otu02056,transient
Otu02057,transient
Otu02059,transient
Otu02060,transient
Otu02061,transient
Otu02063,transient
Otu02064,transient
Otu02067,transient
Otu02068,transient
Otu02069,transient
Otu02070,transient
Otu02071,transient
Otu02075,transient
Otu02076,transient
Otu02077,transient
Otu02079,transient
Otu02080,transient
Otu02081,transient
Otu02083,transient
Otu02084,transient
Otu02086,transient
Otu02088,transient
Otu02089,transient
Otu02092,transient
Otu02093,transient
Otu02096,transient
Otu02097,transient
Otu02098,transient
Otu02099,transient
Otu02100,transient
Otu02102,transient
Otu02103,transient
Otu02104,transient
Otu02105,transient
Otu02106,transient
Otu02107,transient
Otu02108,transient
Otu02111,transient
Otu02112,transient
Otu02113,transient
Otu02115,transient
Otu02117,transient
Otu02118,transient
