OTU,active
Otu00004,persistent
Otu00006,persistent
Otu00007,persistent
Otu00008,persistent
Otu00011,persistent
Otu00014,persistent
Otu00017,persistent
Otu00020,persistent
Otu00024,persistent
Otu00029,persistent
Otu00034,persistent
Otu00038,persistent
Otu00047,persistent
Otu00056,persistent
Otu00062,persistent
Otu00064,persistent
Otu00067,persistent
Otu00073,persistent
Otu00082,persistent
Otu00219,persistent
