OTU,active
Otu00003,seasonal
Otu00011,seasonal
Otu00013,seasonal
Otu00019,seasonal
Otu00021,seasonal
Otu00022,seasonal
Otu00023,seasonal
Otu00024,seasonal
Otu00025,seasonal
Otu00027,seasonal
Otu00031,seasonal
Otu00035,seasonal
Otu00040,seasonal
Otu00041,seasonal
Otu00043,seasonal
Otu00044,seasonal
Otu00046,seasonal
Otu00048,seasonal
Otu00049,seasonal
Otu00050,seasonal
Otu00051,seasonal
Otu00054,seasonal
Otu00055,seasonal
Otu00056,seasonal
Otu00057,seasonal
Otu00058,seasonal
Otu00060,seasonal
Otu00061,seasonal
Otu00062,seasonal
Otu00063,seasonal
Otu00064,seasonal
Otu00067,seasonal
Otu00068,seasonal
Otu00070,seasonal
Otu00071,seasonal
Otu00073,seasonal
Otu00074,seasonal
Otu00075,seasonal
Otu00079,seasonal
Otu00080,seasonal
Otu00082,seasonal
Otu00083,seasonal
Otu00084,seasonal
Otu00085,seasonal
Otu00088,seasonal
Otu00089,seasonal
Otu00091,seasonal
Otu00093,seasonal
Otu00096,seasonal
Otu00097,seasonal
Otu00099,seasonal
Otu00100,seasonal
Otu00101,seasonal
Otu00102,seasonal
Otu00103,seasonal
Otu00104,seasonal
Otu00105,seasonal
Otu00106,seasonal
Otu00107,seasonal
Otu00108,seasonal
Otu00110,seasonal
Otu00111,seasonal
Otu00112,seasonal
Otu00113,seasonal
Otu00114,seasonal
Otu00115,seasonal
Otu00116,seasonal
Otu00117,seasonal
Otu00118,seasonal
Otu00120,seasonal
Otu00121,seasonal
Otu00124,seasonal
Otu00125,seasonal
Otu00126,seasonal
Otu00128,seasonal
Otu00130,seasonal
Otu00133,seasonal
Otu00134,seasonal
Otu00135,seasonal
Otu00136,seasonal
Otu00137,seasonal
Otu00139,seasonal
Otu00141,seasonal
Otu00146,seasonal
Otu00147,seasonal
Otu00148,seasonal
Otu00149,seasonal
Otu00150,seasonal
Otu00152,seasonal
Otu00154,seasonal
Otu00155,seasonal
Otu00158,seasonal
Otu00161,seasonal
Otu00162,seasonal
Otu00164,seasonal
Otu00166,seasonal
Otu00167,seasonal
Otu00169,seasonal
Otu00171,seasonal
Otu00172,seasonal
Otu00173,seasonal
Otu00176,seasonal
Otu00178,seasonal
Otu00179,seasonal
Otu00180,seasonal
Otu00181,seasonal
Otu00182,seasonal
Otu00183,seasonal
Otu00184,seasonal
Otu00187,seasonal
Otu00188,seasonal
Otu00191,seasonal
Otu00192,seasonal
Otu00195,seasonal
Otu00196,seasonal
Otu00198,seasonal
Otu00199,seasonal
Otu00200,seasonal
Otu00202,seasonal
Otu00205,seasonal
Otu00208,seasonal
Otu00209,seasonal
Otu00210,seasonal
Otu00211,seasonal
Otu00212,seasonal
Otu00213,seasonal
Otu00214,seasonal
Otu00215,seasonal
Otu00217,seasonal
Otu00218,seasonal
Otu00219,seasonal
Otu00223,seasonal
Otu00224,seasonal
Otu00226,seasonal
Otu00228,seasonal
Otu00230,seasonal
Otu00231,seasonal
Otu00232,seasonal
Otu00233,seasonal
Otu00235,seasonal
Otu00236,seasonal
Otu00237,seasonal
Otu00238,seasonal
Otu00239,seasonal
Otu00240,seasonal
Otu00241,seasonal
Otu00243,seasonal
Otu00244,seasonal
Otu00248,seasonal
Otu00249,seasonal
Otu00250,seasonal
Otu00251,seasonal
Otu00252,seasonal
Otu00253,seasonal
Otu00254,seasonal
Otu00256,seasonal
Otu00257,seasonal
Otu00261,seasonal
Otu00262,seasonal
Otu00265,seasonal
Otu00266,seasonal
Otu00267,seasonal
Otu00270,seasonal
Otu00271,seasonal
Otu00272,seasonal
Otu00274,seasonal
Otu00276,seasonal
Otu00277,seasonal
Otu00279,seasonal
Otu00282,seasonal
Otu00283,seasonal
Otu00284,seasonal
Otu00285,seasonal
Otu00286,seasonal
Otu00289,seasonal
Otu00290,seasonal
Otu00293,seasonal
Otu00294,seasonal
Otu00296,seasonal
Otu00297,seasonal
Otu00300,seasonal
Otu00304,seasonal
Otu00305,seasonal
Otu00310,seasonal
Otu00311,seasonal
