OTU,active
Otu01702,transient
Otu01714,transient
Otu01735,transient
Otu01741,transient
Otu01742,transient
Otu01745,transient
Otu01753,transient
Otu01754,transient
Otu01759,transient
Otu01791,transient
Otu01803,transient
Otu01849,transient
Otu01867,transient
Otu01911,transient
Otu01912,transient
Otu01974,transient
Otu02183,transient
Otu02292,transient
Otu02491,transient
Otu02544,transient
Otu02788,transient
Otu00127,transient
Otu00138,transient
Otu00163,transient
Otu00175,transient
Otu00186,transient
Otu00220,transient
Otu00221,transient
Otu00222,transient
Otu00264,transient
Otu00278,transient
Otu00288,transient
Otu00298,transient
Otu00301,transient
Otu00307,transient
Otu00319,transient
Otu00329,transient
Otu00350,transient
Otu00370,transient
Otu00380,transient
Otu00382,transient
Otu00398,transient
Otu00403,transient
Otu00407,transient
Otu00426,transient
Otu00440,transient
Otu00454,transient
Otu00455,transient
Otu00472,transient
Otu00489,transient
Otu00495,transient
Otu00501,transient
Otu00504,transient
Otu00513,transient
Otu00516,transient
Otu00524,transient
Otu00529,transient
Otu00538,transient
Otu00541,transient
Otu00543,transient
Otu00546,transient
Otu00559,transient
Otu00581,transient
Otu00586,transient
Otu00588,transient
Otu00589,transient
Otu00592,transient
Otu00594,transient
Otu00602,transient
Otu00605,transient
Otu00609,transient
Otu00611,transient
Otu00613,transient
Otu00620,transient
Otu00623,transient
Otu00638,transient
Otu00641,transient
Otu00643,transient
Otu00647,transient
Otu00651,transient
Otu00652,transient
Otu00653,transient
Otu00666,transient
Otu00676,transient
Otu00677,transient
Otu00679,transient
Otu00680,transient
Otu00682,transient
Otu00683,transient
Otu00686,transient
Otu00689,transient
Otu00690,transient
Otu00692,transient
Otu00695,transient
Otu00701,transient
Otu00706,transient
Otu00709,transient
Otu00711,transient
Otu00717,transient
Otu00720,transient
Otu00721,transient
Otu00722,transient
Otu00725,transient
Otu00728,transient
Otu00731,transient
Otu00736,transient
Otu00737,transient
Otu00738,transient
Otu00740,transient
Otu00743,transient
Otu00747,transient
Otu00752,transient
Otu00760,transient
Otu00763,transient
Otu00764,transient
Otu00769,transient
Otu00775,transient
Otu00779,transient
Otu00780,transient
Otu00781,transient
Otu00782,transient
Otu00786,transient
Otu00787,transient
Otu00788,transient
Otu00789,transient
Otu00795,transient
Otu00796,transient
Otu00801,transient
Otu00803,transient
Otu00804,transient
Otu00808,transient
Otu00810,transient
Otu00812,transient
Otu00813,transient
Otu00816,transient
Otu00819,transient
Otu00820,transient
Otu00822,transient
Otu00829,transient
Otu00833,transient
Otu00837,transient
Otu00838,transient
Otu00839,transient
Otu00850,transient
Otu00862,transient
Otu00870,transient
Otu00872,transient
Otu00881,transient
Otu00886,transient
Otu00889,transient
Otu00890,transient
Otu00893,transient
Otu00895,transient
Otu00896,transient
Otu00908,transient
Otu00921,transient
Otu00922,transient
Otu00928,transient
Otu00930,transient
Otu00937,transient
Otu00941,transient
Otu00942,transient
Otu00947,transient
Otu00948,transient
Otu00949,transient
Otu00956,transient
Otu00959,transient
Otu00960,transient
Otu00971,transient
Otu00972,transient
Otu00974,transient
Otu00981,transient
Otu00982,transient
Otu00984,transient
Otu00985,transient
Otu00989,transient
Otu00995,transient
Otu00997,transient
Otu00998,transient
Otu00999,transient
Otu01000,transient
Otu01010,transient
Otu01012,transient
Otu01013,transient
Otu01015,transient
Otu01020,transient
Otu01021,transient
Otu01022,transient
Otu01024,transient
Otu01025,transient
Otu01026,transient
Otu01029,transient
Otu01031,transient
Otu01032,transient
Otu01033,transient
Otu01037,transient
Otu01041,transient
Otu01047,transient
Otu01048,transient
Otu01054,transient
Otu01055,transient
Otu01058,transient
Otu01060,transient
Otu01061,transient
Otu01063,transient
Otu01066,transient
Otu01067,transient
Otu01068,transient
Otu01070,transient
Otu01073,transient
Otu01075,transient
Otu01080,transient
Otu01084,transient
Otu01088,transient
Otu01089,transient
Otu01090,transient
Otu01095,transient
Otu01098,transient
Otu01099,transient
Otu01100,transient
Otu01102,transient
Otu01105,transient
Otu01115,transient
Otu01116,transient
Otu01117,transient
Otu01122,transient
Otu01124,transient
Otu01125,transient
Otu01129,transient
Otu01135,transient
Otu01140,transient
Otu01141,transient
Otu01146,transient
Otu01150,transient
Otu01151,transient
Otu01152,transient
Otu01153,transient
Otu01155,transient
Otu01159,transient
Otu01161,transient
Otu01165,transient
Otu01167,transient
Otu01171,transient
Otu01178,transient
Otu01179,transient
Otu01180,transient
Otu01181,transient
Otu01182,transient
Otu01186,transient
Otu01188,transient
Otu01189,transient
Otu01191,transient
Otu01192,transient
Otu01201,transient
Otu01202,transient
Otu01204,transient
Otu01206,transient
Otu01207,transient
Otu01209,transient
Otu01215,transient
Otu01216,transient
Otu01217,transient
Otu01219,transient
Otu01221,transient
Otu01222,transient
Otu01223,transient
Otu01227,transient
Otu01229,transient
Otu01231,transient
Otu01234,transient
Otu01236,transient
Otu01237,transient
Otu01240,transient
Otu01242,transient
Otu01245,transient
Otu01248,transient
Otu01249,transient
Otu01250,transient
Otu01255,transient
Otu01258,transient
Otu01259,transient
Otu01260,transient
Otu01261,transient
Otu01263,transient
Otu01271,transient
Otu01272,transient
Otu01273,transient
Otu01277,transient
Otu01278,transient
Otu01282,transient
Otu01283,transient
Otu01286,transient
Otu01289,transient
Otu01292,transient
Otu01294,transient
Otu01295,transient
Otu01297,transient
Otu01298,transient
Otu01299,transient
Otu01302,transient
Otu01304,transient
Otu01309,transient
Otu01315,transient
Otu01318,transient
Otu01319,transient
Otu01320,transient
Otu01321,transient
Otu01323,transient
Otu01324,transient
Otu01326,transient
Otu01327,transient
Otu01328,transient
Otu01329,transient
Otu01330,transient
Otu01331,transient
Otu01332,transient
Otu01337,transient
Otu01338,transient
Otu01340,transient
Otu01341,transient
Otu01345,transient
Otu01346,transient
Otu01347,transient
Otu01349,transient
Otu01350,transient
Otu01354,transient
Otu01355,transient
Otu01359,transient
Otu01360,transient
Otu01361,transient
Otu01367,transient
Otu01372,transient
Otu01373,transient
Otu01375,transient
Otu01379,transient
Otu01380,transient
Otu01381,transient
Otu01383,transient
Otu01384,transient
Otu01388,transient
Otu01389,transient
Otu01392,transient
Otu01393,transient
Otu01395,transient
Otu01396,transient
Otu01397,transient
Otu01401,transient
Otu01402,transient
Otu01405,transient
Otu01410,transient
Otu01411,transient
Otu01415,transient
Otu01417,transient
Otu01418,transient
Otu01420,transient
Otu01423,transient
Otu01425,transient
Otu01426,transient
Otu01427,transient
Otu01431,transient
Otu01432,transient
Otu01435,transient
Otu01437,transient
Otu01438,transient
Otu01439,transient
Otu01445,transient
Otu01447,transient
Otu01451,transient
Otu01452,transient
Otu01454,transient
Otu01458,transient
Otu01459,transient
Otu01460,transient
Otu01461,transient
Otu01462,transient
Otu01467,transient
Otu01469,transient
Otu01471,transient
Otu01475,transient
Otu01477,transient
Otu01479,transient
Otu01480,transient
Otu01483,transient
Otu01484,transient
Otu01487,transient
Otu01488,transient
Otu01489,transient
Otu01491,transient
Otu01492,transient
Otu01493,transient
Otu01494,transient
Otu01496,transient
Otu01497,transient
Otu01501,transient
Otu01502,transient
Otu01504,transient
Otu01505,transient
Otu01506,transient
Otu01507,transient
Otu01508,transient
Otu01509,transient
Otu01511,transient
Otu01512,transient
Otu01514,transient
Otu01515,transient
Otu01516,transient
Otu01517,transient
Otu01519,transient
Otu01520,transient
Otu01522,transient
Otu01525,transient
Otu01526,transient
Otu01527,transient
Otu01528,transient
Otu01531,transient
Otu01532,transient
Otu01537,transient
Otu01538,transient
Otu01540,transient
Otu01541,transient
Otu01542,transient
Otu01543,transient
Otu01547,transient
Otu01550,transient
Otu01555,transient
Otu01556,transient
Otu01562,transient
Otu01563,transient
Otu01564,transient
Otu01567,transient
Otu01568,transient
Otu01569,transient
Otu01571,transient
Otu01574,transient
Otu01576,transient
Otu01577,transient
Otu01579,transient
Otu01585,transient
Otu01586,transient
Otu01588,transient
Otu01589,transient
Otu01591,transient
Otu01594,transient
Otu01600,transient
Otu01601,transient
Otu01602,transient
Otu01605,transient
Otu01606,transient
Otu01608,transient
Otu01612,transient
Otu01617,transient
Otu01619,transient
Otu01623,transient
Otu01624,transient
Otu01628,transient
Otu01629,transient
Otu01630,transient
Otu01635,transient
Otu01636,transient
Otu01637,transient
Otu01638,transient
Otu01640,transient
Otu01642,transient
Otu01643,transient
Otu01644,transient
Otu01645,transient
Otu01646,transient
Otu01648,transient
Otu01649,transient
Otu01651,transient
Otu01653,transient
Otu01656,transient
Otu01659,transient
Otu01661,transient
Otu01662,transient
Otu01663,transient
Otu01664,transient
Otu01665,transient
Otu01666,transient
Otu01669,transient
Otu01670,transient
Otu01674,transient
Otu01676,transient
Otu01677,transient
Otu01679,transient
Otu01681,transient
Otu01682,transient
Otu01683,transient
Otu01685,transient
Otu01688,transient
Otu01689,transient
Otu01690,transient
Otu01693,transient
Otu01694,transient
Otu01696,transient
Otu01697,transient
Otu01698,transient
Otu01699,transient
Otu01705,transient
Otu01707,transient
Otu01709,transient
Otu01710,transient
Otu01711,transient
Otu01713,transient
Otu01716,transient
Otu01717,transient
Otu01719,transient
Otu01721,transient
Otu01722,transient
Otu01729,transient
Otu01731,transient
Otu01734,transient
Otu01736,transient
Otu01738,transient
Otu01739,transient
Otu01743,transient
Otu01744,transient
Otu01746,transient
Otu01747,transient
Otu01748,transient
Otu01749,transient
Otu01751,transient
Otu01761,transient
Otu01764,transient
Otu01765,transient
Otu01768,transient
Otu01769,transient
Otu01770,transient
Otu01771,transient
Otu01772,transient
Otu01773,transient
Otu01774,transient
Otu01775,transient
Otu01776,transient
Otu01777,transient
Otu01778,transient
Otu01779,transient
Otu01782,transient
Otu01783,transient
Otu01784,transient
Otu01787,transient
Otu01789,transient
Otu01793,transient
Otu01794,transient
Otu01795,transient
Otu01796,transient
Otu01797,transient
Otu01798,transient
Otu01801,transient
Otu01802,transient
Otu01805,transient
Otu01806,transient
Otu01808,transient
Otu01811,transient
Otu01812,transient
Otu01815,transient
